title;pricedc;terjual;link;Original Price;Min Price;Max Price
Madame Gie Madame Clarify Facial Foam - Skin Care Pembersih Wajah;25.300;1RB+ Terjual/ Bulan;/Madame-Gie-Madame-Clarify-Facial-Foam-Skin-Care-Pembersih-Wajah-i.94309880.3174313451?sp_atk=56f1c61c-5696-4e7f-8ed8-08baccecab81&xptdk=56f1c61c-5696-4e7f-8ed8-08baccecab81;35000.0;25300;25300
[ BISA COD ] MAXIE GLOW SKINCARE KEMASAN TERBARU;31.000;1RB+ Terjual/ Bulan;/-BISA-COD-MAXIE-GLOW-SKINCARE-KEMASAN-TERBARU-i.46945218.8741149740?sp_atk=ae35e338-744c-4b4f-9e45-aa5365319c90&xptdk=ae35e338-744c-4b4f-9e45-aa5365319c90;;31000;78000
[BISA COD] REGLOW Glow Skin Treatment Skincare Original Glowing Whitening BPOM Beauty Series Perawatan Kecantikan Wajah Paket Re Glow Skincare Pemutih Wajah Penghilang Flek Hitam Facial Wash Toner Cream Reg Glow Rglow Doker dr Shindy Putri Official Store;38.000;1RB+ Terjual/ Bulan;/-BISA-COD-REGLOW-Glow-Skin-Treatment-Skincare-Original-Glowing-Whitening-BPOM-Beauty-Series-Perawatan-Kecantikan-Wajah-Paket-Re-Glow-Skincare-Pemutih-Wajah-Penghilang-Flek-Hitam-Facial-Wash-Toner-Cream-Reg-Glow-Rglow-Doker-dr-Shindy-Putri-Official-Store-i.505134945.11825721621?sp_atk=5f760cbd-3fe4-4082-b707-8887760e4e7d&xptdk=5f760cbd-3fe4-4082-b707-8887760e4e7d;;38000;265000
NGLOW SKINCARE ORIGINAL ORIGINAL BPOM!!(POUCH TERBARU)PROMO;74.500;1RB+ Terjual/ Bulan;/NGLOW-SKINCARE-ORIGINAL-ORIGINAL-BPOM!!(POUCH-TERBARU)PROMO-i.32188236.5678737306?sp_atk=a4d9355d-e766-4bf7-91f2-147d2a048a66&xptdk=a4d9355d-e766-4bf7-91f2-147d2a048a66;;74500;134500
CREAM PEMUTIH WAJAH [PAKET PENGELUPASAN & PAKET NON PENGELUPASAN]CREAM PEMUTIH WAJAH/PEMUTIH WAJAH/SKINCARE/KOSMETIK/PEMUTIH/CREAM PEMUTIH/PEMUTIH WAJAH/SKINCARE/PRAWATAN WAJAH/KOSMETIK WAJAH/CREAM JERAWAT/CREAM FLEK/CREAM WAJAH/PEMUTIH WAJAH/PEMUTIH;125.000;1RB+ Terjual/ Bulan;/CREAM-PEMUTIH-WAJAH-PAKET-PENGELUPASAN-PAKET-NON-PENGELUPASAN-CREAM-PEMUTIH-WAJAH-PEMUTIH-WAJAH-SKINCARE-KOSMETIK-PEMUTIH-CREAM-PEMUTIH-PEMUTIH-WAJAH-SKINCARE-PRAWATAN-WAJAH-KOSMETIK-WAJAH-CREAM-JERAWAT-CREAM-FLEK-CREAM-WAJAH-PEMUTIH-WAJAH-PEMUTIH-i.33847595.1666734244?sp_atk=5b476675-82cb-465e-b4d1-f9c35b071e87&xptdk=5b476675-82cb-465e-b4d1-f9c35b071e87;125000.0;125000;125000
BENING'S SKINCARE PAKET EXLUSIVE/PAKET BRIGHTENING/PAKET ACNE ORIGINAL BY DR. OKY PRATAMA;75.000;1RB+ Terjual/ Bulan;/BENING'S-SKINCARE-PAKET-EXLUSIVE-PAKET-BRIGHTENING-PAKET-ACNE-ORIGINAL-BY-DR.-OKY-PRATAMA-i.399908507.8225409862?sp_atk=732cc79d-54fe-455f-a045-8fd2f67d0780&xptdk=732cc79d-54fe-455f-a045-8fd2f67d0780;;75000;395000
Ella Skincare DAY GEL with Niacinamide - Tabir Surya yg Aman utk Kulit Berjerawat. Hasil Matte, tdk Whitecast;43.120;1RB+ Terjual/ Bulan;/Ella-Skincare-DAY-GEL-with-Niacinamide-Tabir-Surya-yg-Aman-utk-Kulit-Berjerawat.-Hasil-Matte-tdk-Whitecast-i.95154428.1571443213?sp_atk=af5b955c-ec3f-42dc-bb32-8c7bcca41ae0&xptdk=af5b955c-ec3f-42dc-bb32-8c7bcca41ae0;44000.0;43120;43120
OMG Oh My Glow Paket Lengkap Skincare Peach Glowing | Face care Skincare Oh My Glow Original BPOM;6.499;1RB+ Terjual/ Bulan;/OMG-Oh-My-Glow-Paket-Lengkap-Skincare-Peach-Glowing-Face-care-Skincare-Oh-My-Glow-Original-BPOM-i.434791063.17900051852?sp_atk=972a29f0-b882-46d8-8fe6-dcff7c7b1169&xptdk=972a29f0-b882-46d8-8fe6-dcff7c7b1169;;6499;33154
BENINGS SKINCARE DR OKY PRATAMA PAKET EXLUSIVE BRIGHTENING ACNE | BENINGS CLINIC | BENING'S SKINCARE;75.000;1RB+ Terjual/ Bulan;/BENINGS-SKINCARE-DR-OKY-PRATAMA-PAKET-EXLUSIVE-BRIGHTENING-ACNE-BENINGS-CLINIC-BENING'S-SKINCARE-i.296213759.10944888169?sp_atk=d61cd0fe-4f87-40cd-992f-350db1c7f8be&xptdk=d61cd0fe-4f87-40cd-992f-350db1c7f8be;;75000;395000
[COD] Maxie Skincare KEMASAN BARU SABUN BOTOL;84.999;1RB+ Terjual/ Bulan;/-COD-Maxie-Skincare-KEMASAN-BARU-SABUN-BOTOL-i.172012706.13920127298?sp_atk=6cc4c21c-506a-4d2a-8f43-e859c085eaf7&xptdk=6cc4c21c-506a-4d2a-8f43-e859c085eaf7;85000.0;84999;84999
